time,open,high,low,close,Volume
2009-02-02T09:00:00+01:00,93.25,93.25,92.5,92.5,8668
2009-02-02T09:30:00+01:00,92.75,92.75,91.25,91.25,12064
2009-02-02T10:00:00+01:00,91.0,91.75,91.0,91.75,5058
2009-02-02T10:30:00+01:00,91.25,91.25,91.25,91.25,1450
2009-02-02T11:00:00+01:00,90.25,91.0,90.25,91.0,3500
2009-02-02T11:30:00+01:00,90.5,91.75,90.5,91.75,836
2009-02-02T12:00:00+01:00,90.75,90.75,90.5,90.75,805
2009-02-02T13:00:00+01:00,90.5,90.5,90.5,90.5,400
2009-02-02T13:30:00+01:00,90.75,90.75,90.75,90.75,675
2009-02-02T14:00:00+01:00,91.0,91.0,91.0,91.0,3
2009-02-02T14:30:00+01:00,90.25,90.75,90.25,90.75,2825
2009-02-02T15:00:00+01:00,90.5,90.75,90.5,90.75,1832
2009-02-02T15:30:00+01:00,90.75,90.75,90.75,90.75,30
2009-02-02T16:00:00+01:00,91.0,91.25,90.75,90.75,664
2009-02-02T16:30:00+01:00,89.75,89.75,89.5,89.5,2400
2009-02-02T17:00:00+01:00,89.5,89.5,88.5,89.25,9450
2009-02-03T09:00:00+01:00,87.75,89.75,87.75,89.75,3602
2009-02-03T09:30:00+01:00,90.25,90.25,90.25,90.25,36
2009-02-03T10:00:00+01:00,90.25,90.5,90.25,90.5,106
2009-02-03T10:30:00+01:00,90.25,90.25,90.25,90.25,1000
2009-02-03T11:00:00+01:00,90.25,90.25,90.25,90.25,200
2009-02-03T11:30:00+01:00,90.0,90.0,90.0,90.0,24
2009-02-03T12:00:00+01:00,90.0,90.0,90.0,90.0,100
2009-02-03T13:30:00+01:00,91.25,91.75,91.25,91.5,18512
2009-02-03T14:30:00+01:00,92.25,92.5,92.25,92.5,3297
2009-02-03T15:00:00+01:00,92.25,92.25,92.0,92.0,10365
2009-02-03T15:30:00+01:00,92.0,92.0,91.75,91.75,14365
2009-02-03T16:00:00+01:00,91.75,92.5,91.75,92.5,16504
2009-02-03T16:30:00+01:00,93.25,93.25,93.0,93.0,1741
2009-02-03T17:00:00+01:00,93.0,93.0,93.0,93.0,743
2009-02-04T09:00:00+01:00,92.5,92.5,92.5,92.5,100
2009-02-04T10:30:00+01:00,94.5,94.5,94.5,94.5,199
2009-02-04T11:00:00+01:00,93.75,94.25,93.75,94.25,2512
2009-02-04T11:30:00+01:00,94.25,94.25,94.0,94.25,734
